eeschema (2013-may-18)-stable  >> Creation date: Út 5. listopad 2013, 21:33:32 CET
#Cmp ( order = Reference )
| Q1         PDTC114EE   ; sc75        ;             ;             ;             ;             ;             ;             ;             ;             
| Q2         PDTC114EE   ; sc75        ;             ;             ;             ;             ;             ;             ;             ;             
| Q3         PDTA114YE   ; sc75        ;             ;             ;             ;             ;             ;             ;             ;             
| R1         470R        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R2         470R        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R3         470R        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R4         470R        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R5         470R        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R6         470R        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R7         470R        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R8         470R        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R9         470R        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R10        470R        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R11        470R        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R12        470R        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R13        470R        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R14        470R        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R15        22R         ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R16        22R         ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R17        120R        ; r_0805      ;             ;             ;             ;             ;             ;             ;             ;             
| R18        4k7         ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R19        39k         ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R20        39k         ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R21        39k         ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R22        82k         ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R23        12k         ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R24        39k         ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R25        470R        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R26        470R        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R27        220R        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R28        220R        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R29        39k         ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R30        39k         ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R31        220R        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R32        220R        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R33        470R        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R34        39k         ; r_0402      ;             ;             ;             ;             ;             ;             ;             ;             
| R35        1M          ; r_0402      ;             ;             ;             ;             ;             ;             ;             ;             
| R36        39k         ; r_0402      ;             ;             ;             ;             ;             ;             ;             ;             
| R37        39k         ; r_0402      ;             ;             ;             ;             ;             ;             ;             ;             
| R38        39k         ; r_0402      ;             ;             ;             ;             ;             ;             ;             ;             
| R39        681k        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R40        4.7k        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R41        4.7k        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R42        470R        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R43        470R        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R44        4k7         ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R45        330R        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R46        470R        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R47        330R        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R48        470R        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R49        470R        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R50        470R        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R51        470R        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R52        180R        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R53        220R        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R54        100R        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R55        330R        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| R56        39k         ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
